"Country" "Group" "PPGDP" "LifeExp"
"SaudiArabia" "other" 15835.9 78.73
"Senegal" "africa" 1032.7 57.44
"Serbia" "other" 5123.2 75.4
"SierraLeone" "africa" 351.7 55.16
"Singapore" "other" 43783.1 82.16
"Slovakia" "oecd" 15976 82.53
"Slovenia" "oecd" 23109.8 81.56
"SolomonIslands" "other" 1193.5 71.39
"Somalia" "africa" 114.8 51.86
"Spain" "other" 30542.8 81.98
"SriLanka" "other" 2375.3 73.5
"StVincentGrenadines" "other" 6171.7 76.64
"Sudan" "africa" 1824.9 60.65
"Suriname" "other" 7018 77.46
"Sweden" "oecd" 48906.2 83.04
"Switzerland" "oecd" 68880.2 84.48
"Syria" "other" 2931.5 72.95
"Tajikistan" "other" 816 70.38
"Tanzania" "africa" 516 57.92
"Macedonia" "other" 4434.5 74.55
"Thailand" "other" 4612.8 74.62
"Togo" "africa" 524.6 55.44
"Tonga" "other" 3543.1 75.29
"TrinidadandTobago" "other" 15205.1 80.22
"Turkey" "oecd" 10095.1 81.41
"Turkmenistan" "other" 4587.5 75.68
"Tuvalu" "other" 3187.2 72.83
"Uganda" "africa" 509 54.83
"Ukraine" "other" 3035 72.84
"UnitedArabEmirates" "other" 39624.7 81.42
"UnitedKingdom" "oecd" 36326.8 82.36
"UnitedStates" "oecd" 46545.9 82.19
"Uruguay" "other" 11952.4 78
"Uzbekistan" "other" 1427.3 71.24
"Vanuatu" "other" 2963.5 73.66
"Venezuela" "other" 13502.7 78.98
"Vietnam" "other" 1182.7 68.5
"Yemen" "other" 1437.2 71.75
"Zimbabwe" "africa" 573.1 57.27
